vehicle,earlier_journey,later_journey,earlier_start,later_start,earlier_km,later_km,earlier_fuel_l,later_fuel_l,earlier_l_per_100km,later_l_per_100km,earlier_idle_minutes_estimated,later_idle_minutes_estimated,earlier_event8,later_event8,start_gap_km,end_gap_km,both_fuel_at_least_5l,earlier_route_coverage,later_route_coverage,route_min_coverage,rate_change_pct
584LGFL6EX,250311000001,250331000002,2025-03-11T08:26:07,2025-03-31T08:58:42,44.0,36.0,22.0,16.5,50.0,45.83333333333333,0.0723833333390454,0.0661333333351649,5,10,0.0059505117452153,0.0081678128316253,True,0.4,0.41414141414141414,0.4,-8.333333333333348
584LGFL6EX,250321000001,250331000002,2025-03-21T08:12:10,2025-03-31T08:58:42,31.0,36.0,13.0,16.5,41.935483870967744,45.83333333333333,0.0607500000041909,0.0661333333351649,1,10,0.0565074787593086,0.0126271127099208,True,0.6617647058823529,0.32323232323232326,0.32323232323232326,9.294871794871785
584LGFL6EX,250121010001,250521000001,2025-01-21T09:37:35,2025-05-21T08:08:42,94.0,76.0,36.5,30.5,38.82978723404255,40.131578947368425,0.1721999999989445,0.0833166666678153,15,10,0.0173679608337146,0.0157539437598341,True,0.11258278145695365,0.07741935483870968,0.07741935483870968,3.352559480894035
584LGFL6EX,250521060004,250701060002,2025-05-21T14:11:58,2025-07-01T14:54:11,29.0,31.0,17.0,20.5,58.620689655172406,66.12903225806451,0.1135666666668839,0.1040333333270003,0,3,0.0087721055135988,0.012670173270647,True,0.2875,0.7435897435897436,0.2875,12.808349146110064
584LGFL6EX,250321000001,250731020003,2025-03-21T08:12:10,2025-07-31T10:35:55,31.0,31.0,13.0,13.5,41.935483870967744,43.54838709677419,0.0607500000041909,0.017249999998603,1,5,0.0299192919259281,0.0050269123304863,True,0.7058823529411765,0.7333333333333333,0.7058823529411765,3.8461538461538325
584LGFL6EX,250331000002,250731020003,2025-03-31T08:58:42,2025-07-31T10:35:55,36.0,31.0,16.5,13.5,45.83333333333333,43.54838709677419,0.0661333333351649,0.017249999998603,10,5,0.029077917128318,0.0114013517468129,True,0.3939393939393939,0.7833333333333333,0.3939393939393939,-4.985337243401755
584LGFL6EX,250731010002,250831230002,2025-07-31T09:19:10,2025-09-01T07:52:35,15.0,15.0,6.5,8.5,43.333333333333336,56.66666666666666,0.0155666666687466,0.0212333333368102,2,0,0.0022737538806849,0.0211471465662611,True,0.21052631578947367,0.24,0.21052631578947367,30.76923076923075
584LGFL6EX,250701010001,251101010001,2025-07-01T09:32:42,2025-11-01T09:26:53,69.0,64.0,34.5,27.5,50.0,42.96875,0.1230333333252929,0.0685333333327435,15,4,0.0065991145835428,0.0289276194854813,True,0.2711864406779661,0.31746031746031744,0.2711864406779661,-14.0625
584LGFL6EX,250501000001,251111010001,2025-05-01T08:48:17,2025-11-11T09:53:37,132.0,140.0,57.5,59.5,43.56060606060606,42.5,0.2231166666722856,0.2001000000047497,14,16,0.0111904539787713,0.0023734347975285,True,0.3826530612244898,0.3116279069767442,0.3116279069767442,-2.4347826086956514
584LGFL6EX,250101060002,251121060001,2025-01-01T14:37:26,2025-11-21T14:03:56,37.0,35.0,18.5,18.0,50.0,51.42857142857142,0.124833333325417,0.1238500000016453,5,3,0.0154617080720584,0.0031911096945528,True,0.3644859813084112,0.4,0.3644859813084112,2.857142857142847
AHMPUL0C13,250111000001,250120220007,2025-01-11T08:37:09,2025-01-21T06:04:58,30.0,31.0,7.0,6.0,23.33333333333333,19.35483870967742,0.0127833333332091,0.0,12,10,0.0754224523180173,0.018563898052681,True,1.0,1.0,1.0,-17.050691244239612
AHMPUL0C13,250111020002,250120230010,2025-01-11T10:07:29,2025-01-21T07:34:19,28.0,28.0,6.5,5.5,23.214285714285715,19.642857142857142,0.0,0.0039333333338921,14,12,0.0278437007259056,0.1120079935031152,True,0.9852941176470589,1.0,0.9852941176470589,-15.384615384615385
AHMPUL0C13,250111000001,250121010002,2025-01-11T08:37:09,2025-01-21T09:11:20,30.0,30.0,7.0,6.5,23.33333333333333,21.666666666666668,0.0127833333332091,0.0,12,10,0.0690433704189869,0.0071777841757232,True,0.9850746268656716,1.0,0.9850746268656716,-7.1428571428571175
AHMPUL0C13,250120220007,250121010002,2025-01-21T06:04:58,2025-01-21T09:11:20,31.0,30.0,6.0,6.5,19.35483870967742,21.666666666666668,0.0,0.0,10,10,0.1243270209029166,0.0228003370812028,True,1.0,0.9850746268656716,0.9850746268656716,11.944444444444446
AHMPUL0C13,250111000001,250310220011,2025-01-11T08:37:09,2025-03-11T06:30:15,30.0,30.0,7.0,6.5,23.33333333333333,21.666666666666668,0.0127833333332091,0.0,12,10,0.0667186527733592,0.0145829091195404,True,0.9850746268656716,1.0,0.9850746268656716,-7.1428571428571175
AHMPUL0C13,250120220007,250310220011,2025-01-21T06:04:58,2025-03-11T06:30:15,31.0,30.0,6.0,6.5,19.35483870967742,21.666666666666668,0.0,0.0,10,10,0.0087153428213384,0.0235183036560123,True,0.984375,1.0,0.984375,11.944444444444446
AHMPUL0C13,250121010002,250310220011,2025-01-21T09:11:20,2025-03-11T06:30:15,30.0,30.0,6.5,6.5,21.666666666666668,21.666666666666668,0.0,0.0,10,10,0.1165833334199687,0.0089171416108844,True,0.9701492537313433,1.0,0.9701492537313433,0.0
AHMPUL0C13,250111020002,250311000001,2025-01-11T10:07:29,2025-03-11T08:20:04,28.0,29.0,6.5,5.5,23.214285714285715,18.96551724137931,0.0,0.0,14,10,0.0153581238010405,0.5998846558313787,True,0.9852941176470589,0.9850746268656716,0.9850746268656716,-18.302387267904518
AHMPUL0C13,250120230010,250311000001,2025-01-21T07:34:19,2025-03-11T08:20:04,28.0,29.0,5.5,5.5,19.642857142857142,18.96551724137931,0.0039333333338921,0.0,12,10,0.0297418202635452,0.5959261694162606,True,1.0,0.9850746268656716,0.9850746268656716,-3.4482758620689613
AHMPUL0C13,250111000001,250311020004,2025-01-11T08:37:09,2025-03-11T10:43:44,30.0,30.0,7.0,8.0,23.33333333333333,26.666666666666668,0.0127833333332091,0.0079833333341715,12,11,0.0622675249778229,0.003473503404633,True,1.0,0.9857142857142858,0.9857142857142858,14.285714285714324
AHMPUL0C13,250120220007,250311020004,2025-01-21T06:04:58,2025-03-11T10:43:44,31.0,30.0,6.0,8.0,19.35483870967742,26.666666666666668,0.0,0.0079833333341715,10,11,0.1311807679548272,0.0219401853834656,True,1.0,0.9857142857142858,0.9857142857142858,37.77777777777778
AHMPUL0C13,250121010002,250311020004,2025-01-21T09:11:20,2025-03-11T10:43:44,30.0,30.0,6.5,8.0,21.666666666666668,26.666666666666668,0.0,0.0079833333341715,10,11,0.030000889362505,0.0072444578736383,True,1.0,1.0,1.0,23.076923076923084
AHMPUL0C13,250310220011,250311020004,2025-03-11T06:30:15,2025-03-11T10:43:44,30.0,30.0,6.5,8.0,21.666666666666668,26.666666666666668,0.0,0.0079833333341715,10,11,0.1227134773088353,0.0158539847205031,True,1.0,0.9571428571428572,0.9571428571428572,23.076923076923084
AHMPUL0C13,250111000001,250311060007,2025-01-11T08:37:09,2025-03-11T14:17:44,30.0,31.0,7.0,7.0,23.33333333333333,22.58064516129032,0.0127833333332091,0.0,12,13,0.0359963158545931,0.057197291627676,True,0.9850746268656716,1.0,0.9850746268656716,-3.2258064516128893
AHMPUL0C13,250120220007,250311060007,2025-01-21T06:04:58,2025-03-11T14:17:44,31.0,31.0,6.0,7.0,19.35483870967742,22.58064516129032,0.0,0.0,10,13,0.1112817297474495,0.0616712230551482,True,0.984375,0.9852941176470589,0.984375,16.66666666666665
AHMPUL0C13,250121010002,250311060007,2025-01-21T09:11:20,2025-03-11T14:17:44,30.0,31.0,6.5,7.0,21.666666666666668,22.58064516129032,0.0,0.0,10,13,0.056810424794111,0.0633551673131306,True,0.9850746268656716,1.0,0.9850746268656716,4.218362282878396
AHMPUL0C13,250310220011,250311060007,2025-03-11T06:30:15,2025-03-11T14:17:44,30.0,31.0,6.5,7.0,21.666666666666668,22.58064516129032,0.0,0.0,10,13,0.1025673343482434,0.0717425019046273,True,1.0,0.9852941176470589,0.9852941176470589,4.218362282878396
AHMPUL0C13,250311020004,250311060007,2025-03-11T10:43:44,2025-03-11T14:17:44,30.0,31.0,8.0,7.0,26.666666666666668,22.58064516129032,0.0079833333341715,0.0,11,13,0.0356377117534002,0.0561129440457962,True,0.9714285714285714,0.9852941176470589,0.9714285714285714,-15.322580645161299
AHMPUL0C13,250111000001,250320220012,2025-01-11T08:37:09,2025-03-21T06:02:37,30.0,31.0,7.0,7.0,23.33333333333333,22.58064516129032,0.0127833333332091,0.0,12,10,0.1006399282479412,0.0242526469804977,True,1.0,1.0,1.0,-3.2258064516128893
