route_group,vehicle,journey,start,km,fuel_l,l_per_100km,group_trip_count
AHMPUL0C13-R002,AHMPUL0C13,250911030004,2025-09-11T11:21:38,28.0,5.5,19.642857142857142,27
AHMPUL0C13-R002,AHMPUL0C13,250911060006,2025-09-11T14:26:08,28.0,5.5,19.642857142857142,27
AHMPUL0C13-R002,AHMPUL0C13,250930010002,2025-09-30T09:35:02,28.0,6.0,21.428571428571427,27
AHMPUL0C13-R002,AHMPUL0C13,250930050004,2025-09-30T13:36:37,28.0,5.0,17.857142857142858,27
AHMPUL0C13-R002,AHMPUL0C13,251101000001,2025-11-01T08:09:41,28.0,5.0,17.857142857142858,27
AHMPUL0C13-R002,AHMPUL0C13,251110230014,2025-11-11T07:35:38,28.0,5.0,17.857142857142858,27
AHMPUL0C13-R002,AHMPUL0C13,251111040005,2025-11-11T12:25:59,28.0,5.0,17.857142857142858,27
AHMPUL0C13-R002,AHMPUL0C13,251121050006,2025-11-21T13:24:10,29.0,5.0,17.24137931034483,27
AHMPUL0C13-R002,AHMPUL0C13,251121100009,2025-11-21T18:06:30,28.0,5.5,19.642857142857142,27
AHMPUL0C13-R003,AHMPUL0C13,250630230010,2025-07-01T07:13:53,90.0,16.5,18.33333333333333,2
AHMPUL0C13-R003,AHMPUL0C13,250831230002,2025-09-01T07:33:03,91.0,17.5,19.23076923076924,2
AHMPUL0C13-R004,AHMPUL0C13,250911010002,2025-09-11T09:51:00,26.0,5.0,19.23076923076924,2
AHMPUL0C13-R004,AHMPUL0C13,251121010003,2025-11-21T09:47:54,26.0,5.5,21.15384615384616,2
B4TLK0X42N-R001,B4TLK0X42N,250731090001,2025-07-31T17:58:22,27.0,7.0,25.925925925925924,2
B4TLK0X42N-R001,B4TLK0X42N,250921080001,2025-09-21T16:19:37,28.0,7.5,26.785714285714285,2
C1N6TWBTVB-R001,C1N6TWBTVB,250701030003,2025-07-01T11:41:55,26.600000000000364,8.0,30.0751879699244,2
C1N6TWBTVB-R001,C1N6TWBTVB,250731030003,2025-07-31T11:31:30,26.89999999999964,8.0,29.739776951673264,2
C1N6TWBTVB-R002,C1N6TWBTVB,250701090006,2025-07-01T17:21:19,28.0,6.5,23.214285714285715,2
C1N6TWBTVB-R002,C1N6TWBTVB,250731080006,2025-07-31T16:55:27,28.5,6.5,22.807017543859647,2
DLM28P1JMF-R001,DLM28P1JMF,250131060001,2025-01-31T14:25:05,42.0,8.0,19.047619047619047,17
DLM28P1JMF-R001,DLM28P1JMF,250310220008,2025-03-11T06:35:07,43.0,8.0,18.6046511627907,17
DLM28P1JMF-R001,DLM28P1JMF,250320220009,2025-03-21T06:23:08,41.0,6.5,15.853658536585366,17
DLM28P1JMF-R001,DLM28P1JMF,250331060001,2025-03-31T14:51:48,42.0,7.0,16.666666666666664,17
DLM28P1JMF-R001,DLM28P1JMF,250501070001,2025-05-01T15:07:05,41.0,8.5,20.73170731707317,17
DLM28P1JMF-R001,DLM28P1JMF,250511130001,2025-05-11T21:46:01,41.0,6.5,15.853658536585366,17
DLM28P1JMF-R001,DLM28P1JMF,250521060001,2025-05-21T14:58:32,41.0,8.0,19.51219512195122,17
DLM28P1JMF-R001,DLM28P1JMF,250701070001,2025-07-01T15:09:32,42.0,9.0,21.428571428571427,17
DLM28P1JMF-R001,DLM28P1JMF,250711070001,2025-07-11T15:14:22,42.0,8.5,20.23809523809524,17
DLM28P1JMF-R001,DLM28P1JMF,250731070001,2025-07-31T15:12:48,42.0,8.5,20.23809523809524,17
DLM28P1JMF-R001,DLM28P1JMF,250901060001,2025-09-01T14:29:40,42.0,7.5,17.857142857142858,17
DLM28P1JMF-R001,DLM28P1JMF,250911060001,2025-09-11T14:31:40,42.0,8.0,19.047619047619047,17
DLM28P1JMF-R001,DLM28P1JMF,250930070001,2025-09-30T15:04:19,42.0,8.5,20.23809523809524,17
DLM28P1JMF-R001,DLM28P1JMF,251101060001,2025-11-01T14:57:05,42.0,8.0,19.047619047619047,17
DLM28P1JMF-R001,DLM28P1JMF,251111070001,2025-11-11T15:08:51,42.0,7.0,16.666666666666664,17
DLM28P1JMF-R001,DLM28P1JMF,251121060001,2025-11-21T14:59:16,42.0,7.0,16.666666666666664,17
DLM28P1JMF-R001,DLM28P1JMF,251130130001,2025-11-30T21:56:32,44.0,9.0,20.454545454545457,17
DLM28P1JMF-R002,DLM28P1JMF,250228170004,2025-03-01T01:24:44,44.0,8.0,18.181818181818183,3
DLM28P1JMF-R002,DLM28P1JMF,250310170003,2025-03-11T01:56:04,45.0,9.0,20.0,3
DLM28P1JMF-R002,DLM28P1JMF,250320170004,2025-03-21T01:46:26,43.0,8.0,18.6046511627907,3
DLM28P1JMF-R003,DLM28P1JMF,250330170002,2025-03-31T01:10:52,33.0,6.0,18.181818181818183,4
DLM28P1JMF-R003,DLM28P1JMF,250910160004,2025-09-11T00:29:34,33.0,6.0,18.181818181818183,4
DLM28P1JMF-R003,DLM28P1JMF,251110160003,2025-11-11T00:57:37,33.0,7.0,21.21212121212121,4
DLM28P1JMF-R003,DLM28P1JMF,251129180004,2025-11-30T02:10:50,32.0,5.5,17.1875,4
DLM28P1JMF-R004,DLM28P1JMF,250331100002,2025-03-31T18:37:26,78.0,18.0,23.07692307692308,8
DLM28P1JMF-R004,DLM28P1JMF,250521100002,2025-05-21T18:10:11,77.0,16.5,21.428571428571427,8
DLM28P1JMF-R004,DLM28P1JMF,250701100002,2025-07-01T18:38:13,76.0,18.0,23.684210526315788,8
DLM28P1JMF-R004,DLM28P1JMF,250721090007,2025-07-21T17:49:56,78.0,17.0,21.7948717948718,8
DLM28P1JMF-R004,DLM28P1JMF,250731100003,2025-07-31T18:20:09,76.0,17.0,22.36842105263158,8
DLM28P1JMF-R004,DLM28P1JMF,250930100003,2025-09-30T18:20:37,76.0,16.0,21.052631578947366,8
DLM28P1JMF-R004,DLM28P1JMF,251111100002,2025-11-11T18:02:50,75.0,16.5,22.0,8
DLM28P1JMF-R004,DLM28P1JMF,251121100002,2025-11-21T18:56:55,76.0,17.0,22.36842105263158,8
DLM28P1JMF-R005,DLM28P1JMF,250430160003,2025-05-01T00:55:53,40.0,7.0,17.5,4
DLM28P1JMF-R005,DLM28P1JMF,250520170003,2025-05-21T01:21:18,40.0,8.5,21.25,4
DLM28P1JMF-R005,DLM28P1JMF,250630170005,2025-07-01T01:33:18,43.0,10.0,23.25581395348837,4
DLM28P1JMF-R005,DLM28P1JMF,250831170002,2025-09-01T01:47:08,38.0,7.0,18.421052631578945,4
DLM28P1JMF-R006,DLM28P1JMF,250510170003,2025-05-11T01:17:59,45.0,10.0,22.22222222222222,7
DLM28P1JMF-R006,DLM28P1JMF,250710160003,2025-07-11T00:44:34,44.0,10.0,22.727272727272727,7
DLM28P1JMF-R006,DLM28P1JMF,250720180002,2025-07-21T02:27:25,50.0,11.5,23.0,7
DLM28P1JMF-R006,DLM28P1JMF,250730160003,2025-07-31T00:52:40,44.0,9.0,20.454545454545457,7
DLM28P1JMF-R006,DLM28P1JMF,250929190004,2025-09-30T03:23:40,50.0,13.0,26.0,7
DLM28P1JMF-R006,DLM28P1JMF,251031160003,2025-11-01T00:08:58,52.0,13.0,25.0,7
DLM28P1JMF-R006,DLM28P1JMF,251120160003,2025-11-21T00:22:42,51.0,12.5,24.509803921568626,7
DLM28P1JMF-R007,DLM28P1JMF,250910170005,2025-09-11T01:29:16,18.0,6.5,36.11111111111111,2
DLM28P1JMF-R007,DLM28P1JMF,251110170004,2025-11-11T01:50:52,18.0,7.0,38.88888888888889,2
HTLT0PUOFI-R001,HTLT0PUOFI,250111060006,2025-01-11T14:33:33,49.0,10.0,20.40816326530612,3
HTLT0PUOFI-R001,HTLT0PUOFI,250701070008,2025-07-01T15:20:59,50.0,9.0,18.0,3
HTLT0PUOFI-R001,HTLT0PUOFI,250911060003,2025-09-11T14:58:12,50.0,8.5,17.0,3
HTLT0PUOFI-R002,HTLT0PUOFI,250121060010,2025-01-21T14:42:21,55.0,13.5,24.545454545454547,2
HTLT0PUOFI-R002,HTLT0PUOFI,250901040007,2025-09-01T12:23:33,52.0,12.5,24.03846153846154,2
HTLT0PUOFI-R003,HTLT0PUOFI,250311060005,2025-03-11T14:23:29,37.0,7.5,20.27027027027027,2
HTLT0PUOFI-R003,HTLT0PUOFI,250331050006,2025-03-31T13:16:46,36.0,7.5,20.833333333333336,2
HTLT0PUOFI-R004,HTLT0PUOFI,250720230001,2025-07-21T07:55:55,41.0,7.0,17.073170731707318,2
HTLT0PUOFI-R004,HTLT0PUOFI,251110230008,2025-11-11T07:44:23,41.0,7.0,17.073170731707318,2
HTLT0PUOFI-R005,HTLT0PUOFI,250721010001,2025-07-21T09:26:47,25.0,5.0,20.0,2
HTLT0PUOFI-R005,HTLT0PUOFI,250731060005,2025-07-31T14:01:43,24.0,5.5,22.916666666666664,2
HTLT0PUOFI-R006,HTLT0PUOFI,250831230001,2025-09-01T07:58:22,56.0,10.0,17.857142857142858,2
HTLT0PUOFI-R006,HTLT0PUOFI,250920200001,2025-09-21T04:55:15,56.0,12.5,22.321428571428573,2
M78YOZ58I2-R001,M78YOZ58I2,250331030001,2025-03-31T11:35:43,48.5,7.0,14.432989690721648,2
M78YOZ58I2-R001,M78YOZ58I2,250521040001,2025-05-21T12:41:31,52.5,8.0,15.23809523809524,2
SGQ5MOWUGY-R001,SGQ5MOWUGY,250121020003,2025-01-21T10:20:32,59.5,8.5,14.285714285714285,2
SGQ5MOWUGY-R001,SGQ5MOWUGY,250311010002,2025-03-11T09:50:49,58.19999999999891,7.0,12.027491408934932,2
SGQ5MOWUGY-R002,SGQ5MOWUGY,250711010003,2025-07-11T09:18:44,54.89999999999782,6.5,11.839708561020506,2
